code,name,batch,stock,deal,free,mrp,rate,expiry date,company,supplier
MACAT,ATORMAC 10,KAJ2001A,10,0,0,60.14,42.96,31-12-2022,MACLEODS (PROCARE) CV,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
MACO2,OLMESAR 20,KOH2001A,23,0,0,172,122.86,31-12-2022,MACLEODS (PROCARE) CV,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
SLDUP,DUPHASTON 10MG TAB,KAVA0018,10,0,0,672.51,480.36,01-12-2022,ABBOTT (WH&GI),ABBOTT INDIA LIMITED   HYDERABAD
KNBF4,BRUFEN 400MG TAB,130808D7,60,0,0,11.39,8.14,01-12-2022,ABBOTT-1,ABBOTT INDIA LIMITED HYDERABAD
KNBF6,BRUFEN 600MG TAB,130851D7,77,0,0,26.33,18.81,01-12-2022,ABBOTT-1,ABBOTT INDIA LIMITED HYDERABAD
KNBF6,BRUFEN 600MG TAB,130853D7,30,0,0,26.33,18.81,01-12-2022,ABBOTT-1,ABBOTT INDIA LIMITED HYDERABAD
KNCPS,CREMAFFIN PINK SYR(M.F),CFB0003,60,0,0,191.84,137.03,01-12-2022,ABBOTT (GASTROCARE),ABBOTT INDIA LIMITED HYDERABAD
KNCFP,CREMAFFIN PLUS SYR,130560D7,23,0,0,203.41,145.29,01-12-2022,ABBOTT (GASTROCARE),ABBOTT INDIA LIMITED HYDERABAD
KNDMX,DIGENE MIX FRUIT TAB,130202D7,224,9,1,18.15,12.96,01-12-2022,ABBOTT (CONSUMER CARE),ABBOTT INDIA LIMITED HYDERABAD
KNDMX,DIGENE MIX FRUIT TAB,130202D7,100,9,1,18.15,12.96,01-12-2022,ABBOTT (CONSUMER CARE),ABBOTT INDIA LIMITED HYDERABAD
SLDUP,DUPHASTON 10MG TAB,KAVA0008,10,0,0,672.51,480.36,01-12-2022,ABBOTT (WH&GI),ABBOTT INDIA LIMITED HYDERABAD
ICID4,INDERAL 40MG TAB,INB0002,40,0,0,45.28,32.34,01-12-2022,ABBOTT (NEUROLIFE),ABBOTT INDIA LIMITED HYDERABAD
KLPT2,PROTHIADEN 25MG TAB,ADF0009,1,0,0,121.55,86.82,01-12-2022,ABBOTT (NEUROLIFE),ABBOTT INDIA LIMITED HYDERABAD
KLPT7,PROTHIADEN 75MG TAB,ADF0014,30,0,0,253.33,180.95,01-12-2022,ABBOTT (NEUROLIFE),ABBOTT INDIA LIMITED HYDERABAD
KLZLF,ZOLEFRESH 10MG TAB,ADF0008,8,0,0,138.72,99.09,01-12-2022,ABBOTT-1,ABBOTT INDIA LIMITED HYDERABAD
KLZLF,ZOLEFRESH 10MG TAB,ADF0033,30,0,0,138.72,99.09,01-12-2022,ABBOTT-1,ABBOTT INDIA LIMITED HYDERABAD
KLZLF,ZOLEFRESH 10MG TAB,ADF0039,10,0,0,138.72,99.09,01-12-2022,ABBOTT-1,ABBOTT INDIA LIMITED HYDERABAD
KLZF5,ZOLEFRESH 5MG TAB,ADF0044,30,0,0,88.33,63.09,01-12-2022,ABBOTT-1,ABBOTT INDIA LIMITED HYDERABAD
DBULS,ULGEL LIQ(SAUNF),2008000049,128,11,1,109.8,78.43,01-12-2022,ALEMBIC (ENTERON),ALEMBIC PHARMACEUTICALS LTD   HYDERABAD
ASFXM,FLEXON-MR TAB,DPA200003,20,0,0,20.05,14.32,01-12-2022,ARISTO (TASK FORCE),ARISTO PHARMACEUTICALS PVT LTDHYDERABAD
BIIGV,INSUGEN - R VIAL,BF19000654,-1,0,0,154,123.2,01-12-2022,BIOCON,BIOCON BIOLOGIS INDIA LTD  SECUNDERABAD
BIIGV,INSUGEN - R VIAL,BF19006540,1,0,0,154,123.2,01-12-2022,BIOCON,BIOCON BIOLOGIS INDIA LTD  SECUNDERABAD
BTISG,INSUGEN-30/70 INJ,V19ITF1050,1,0,0,154,123.2,01-12-2022,BIOCON,BIOCON BIOLOGIS INDIA LTD  SECUNDERABAD
CIAAT,AMLOPRES-AT TABS,SA00470,60,0,0,122.81,87.72,01-12-2022,CIPLA(VITALIS 2),CIPLA LIMITED  HYDERABAD
CSMN4,MONTAIR-4 TAB,SN00333,10,0,0,166.37,118.84,01-12-2022,CIPLA(NURTURE 1),CIPLA LIMITED  HYDERABAD
PTOF2,OFLOX 200MG TAB,SB00067,50,4,1,73.2,52.29,01-12-2022,CIPLA (CRESTA),CIPLA LIMITED  HYDERABAD
DRAT2,ATARAX SYRUP,LI0320003,3,0,0,83,59.29,01-12-2022,DR REDDYYS (GRANDERA),DR REDDY`S LABORATORIES LTD   HYDERABAD
DXRCM,RECLIMET TAB,E000081,30,0,0,163.35,116.68,01-12-2022,DR.REDDY`S LAB`S(XENURA),DR REDDY`S LABORATORIES LTD   HYDERABAD
ERGSM1,GLIMISAVE M1 TAB,GGLI20002,8,0,0,106.79,76.28,01-12-2022,ERIS LIFESCIENCES PVT LTD,ERIS LIFE SCIENCES LTD     HYDERABAD
ERIF2,GLIMISAVE M2 FORTE TAB,GGLE20002,20,0,0,132.86,94.9,01-12-2022,ERIS LIFESCIENCES PVT LTD,ERIS LIFE SCIENCES LTD     HYDERABAD
ERGSM2,GLIMISAVE M2 TAB,GGVL20001,3,0,0,151.52,108.23,01-12-2022,ERIS LIFESCIENCES PVT LTD,ERIS LIFE SCIENCES LTD     HYDERABAD
ERGLS,GLIMISAVE M3 TAB,GGIM20001,17,0,0,148.82,106.3,01-12-2022,ERIS LIFESCIENCES PVT LTD,ERIS LIFE SCIENCES LTD     HYDERABAD
FBGP2,GLYCIPHAGE TABS,20010,200,0,0,32.82,23.44,01-12-2022,FRANCO-INDIAN (DIABETIX),FRANCO-INDIAN PHARMACEUTICALS HYDERABAD
FISBS,SORBILINE SYR,E20005,50,9,1,84.39,60.28,01-12-2022,FRANCO INDIAN,FRANCO-INDIAN PHARMACEUTICALS HYDERABAD
AEFTT,FERTYL TAB,AFTL1801,4,0,0,73.25,52.33,01-12-2022,ANCIENT PHARMA,GAYATHRI MEDICAL HALL         HYDERABAD
GECP6,CALPOL 650MG TABS,EB378,228,7,1,30.24,21.6,01-12-2022,GLAXOSMITHKLINE(FORTIOR),GLAXOSMITHKLINE PHARMA LIM   HYDERABADA
